"Price","Size","Age","Beds","Garage","Lawn"
497808,3092,4,3,2,426
364297,1802,26,5,0,88
610217,2701,22,4,1,403
536122,2745,38,4,0,437
347259,2143,18,2,1,141
343784,2754,49,5,1,186
379522,2039,53,4,0,451
341432,1758,43,5,1,832
515913,3191,19,4,0,276
292732,1298,17,2,2,804
646447,3255,39,5,0,536
583891,3383,12,4,0,185
485637,2759,38,4,1,184
496960,2289,27,4,0,533
353135,2124,19,2,0,181
533796,3106,43,5,3,443
326891,1276,17,5,2,320
504254,3158,2,4,3,333
350065,1328,40,3,3,713
457862,1739,13,3,1,53
219294,1118,11,2,0,208
333496,1280,15,4,0,109
454666,2701,30,3,2,575
587078,3125,1,4,2,735
496126,2993,41,2,0,295
386942,1731,29,2,2,603
500227,2538,59,4,1,539
554355,3039,18,3,3,235
335301,1001,7,5,3,957
191900,1053,52,3,0,989
452794,2103,33,4,3,240
335370,1726,55,3,2,127
339842,1441,38,3,3,159
535777,3433,2,2,0,104
471557,2688,45,4,3,716
512092,2702,11,3,0,492
308528,1135,44,3,3,646
566085,3415,30,4,1,163
217797,1055,58,4,3,413
483245,2618,34,2,3,989
527446,3182,17,3,2,724
509378,3276,40,3,3,608
485767,2560,13,2,2,151
409876,1980,32,3,0,586
609642,3129,16,4,0,252
376774,2120,49,2,0,397
441467,2039,9,2,1,961
363941,1698,4,3,0,987
561867,2636,15,2,0,816
403582,2626,48,5,3,86
257529,1153,5,2,1,779
528588,2853,37,3,3,865
330393,2132,49,2,2,961
467629,2224,5,4,3,749
570547,2883,24,5,0,577
386896,2790,54,2,0,414
214403,1050,50,5,1,818
341410,1480,10,5,0,752
435568,2141,29,3,1,861
411208,1696,16,5,3,229
